user_id,first_name,last_name,age,city,reg_date,plan,churn_date
10000,Carlos,Garcia,38,Medellín,2022-01-01 00:00:00.000000000,Basico,
10001,Mateo,Torres,53,?,2022-01-01 06:34:17.914478619,Basico,
10002,Sofia,Ramirez,57,CDMX,2022-01-01 13:08:35.828957239,Basico,
10003,Mateo,Ramirez,69,Bogotá,2022-01-01 19:42:53.743435858,Premium,
10004,Mateo,Torres,63,GDL,2022-01-02 02:17:11.657914478,Basico,
10005,Luis,Garcia,61,MTY,2022-01-02 08:51:29.572393098,Basico,
10006,Sofia,Lopez,39,Bogotá,2022-01-02 15:25:47.486871717,Basico,
10007,Sofia,Gomez,70,Medellín,2022-01-02 22:00:05.401350337,Premium,
10008,Sofia,Garcia,76,CDMX,2022-01-03 04:34:23.315828957,Basico,
10009,Mateo,Torres,47,Bogotá,2022-01-03 11:08:41.230307576,Basico,
10010,Carlos,Gomez,67,Bogotá,2022-01-03 17:42:59.144786196,Basico,
10011,Sofia,Ramirez,60,Bogotá,2022-01-04 00:17:17.059264816,Premium,
10012,Mariana,Lopez,-999,Medellín,2022-01-04 06:51:34.973743435,Premium,
10013,Mateo,Ramirez,78,MTY,2022-01-04 13:25:52.888222055,Premium,
10014,Luis,Torres,77,,2022-01-04 20:00:10.802700675,Basico,
10015,Carlos,Gomez,47,Bogotá,2022-01-05 02:34:28.717179294,Basico,
10016,Mariana,Torres,25,Bogotá,2022-01-05 09:08:46.631657914,Basico,
10017,Mariana,Gomez,51,Cali,2022-01-05 15:43:04.546136534,Basico,
10018,Luis,Garcia,74,GDL,2022-01-05 22:17:22.460615153,Basico,
10019,Carlos,Lopez,64,CDMX,2022-01-06 04:51:40.375093773,Basico,
10020,Mateo,Garcia,26,Medellín,2022-01-06 11:25:58.289572393,Premium,
10021,Ana,Garcia,68,Bogotá,2022-01-06 18:00:16.204051012,Basico,
10022,Carlos,Torres,37,,2022-01-07 00:34:34.118529632,Basico,
10023,Luis,Lopez,57,,2022-01-07 07:08:52.033008252,Basico,
10024,Mariana,Gomez,42,MTY,2022-01-07 13:43:09.947486871,Basico,
10025,Mateo,Gomez,36,Bogotá,2022-01-07 20:17:27.861965491,Premium,
10026,Carlos,Ramirez,22,Bogotá,2022-01-08 02:51:45.776444111,Premium,
10027,Ana,Gomez,28,MTY,2022-01-08 09:26:03.690922730,Premium,
10028,Ana,Torres,32,Cali,2022-01-08 16:00:21.605401350,Basico,
10029,Sofia,Garcia,25,Cali,2022-01-08 22:34:39.519879970,Basico,
10030,Sofia,Garcia,36,Bogotá,2022-01-09 05:08:57.434358589,Basico,
10031,Luis,Garcia,40,CDMX,2022-01-09 11:43:15.348837209,Premium,
10032,Carlos,Lopez,44,MTY,2022-01-09 18:17:33.263315829,Premium,"1,71832E+18"
10033,Carlos,Gomez,57,GDL,2022-01-10 00:51:51.177794448,Premium,
10034,Mariana,Torres,49,Cali,2022-01-10 07:26:09.092273068,Basico,
10035,Mariana,Lopez,43,CDMX,2022-01-10 14:00:27.006751688,Basico,
10036,Mariana,Ramirez,44,Cali,2022-01-10 20:34:44.921230307,Basico,
10037,Sofia,Torres,79,Medellín,2022-01-11 03:09:02.835708927,Premium,
10038,Carlos,Torres,36,Medellín,2022-01-11 09:43:20.750187547,Premium,"1,7261E+18"
10039,Carlos,Torres,67,Bogotá,2022-01-11 16:17:38.664666166,Premium,
10040,Ana,Garcia,59,Medellín,2026-05-10 00:00:00.000000000,Basico,
10041,Sofia,Torres,46,Medellín,2022-01-12 05:26:14.493623405,Basico,
10042,Mateo,Gomez,56,Cali,2022-01-12 12:00:32.408102025,Basico,"1,72169E+18"
10043,Sofia,Torres,77,Bogotá,2022-01-12 18:34:50.322580645,Basico,
10044,Mateo,Garcia,58,Bogotá,2022-01-13 01:09:08.237059264,Basico,"1,7312E+18"
10045,Ana,Torres,50,Medellín,2022-01-13 07:43:26.151537884,Basico,
10046,Luis,Ramirez,36,CDMX,2022-01-13 14:17:44.066016504,Premium,
10047,Carlos,Ramirez,54,Bogotá,2022-01-13 20:52:01.980495123,Premium,"1,72843E+18"
10048,Ana,Garcia,36,,2022-01-14 03:26:19.894973743,Basico,
10049,Carlos,Gomez,50,CDMX,2022-01-14 10:00:37.809452363,Basico,
10050,Mariana,Gomez,64,MTY,2022-01-14 16:34:55.723930982,Basico,
10051,Luis,Lopez,33,MTY,2022-01-14 23:09:13.638409602,Premium,
10052,Luis,Garcia,40,Medellín,2022-01-15 05:43:31.552888222,Basico,
10053,Ana,Torres,24,CDMX,2022-01-15 12:17:49.467366841,Basico,
10054,Luis,Garcia,43,Medellín,2022-01-15 18:52:07.381845461,Premium,"1,72351E+18"
10055,Mateo,Lopez,49,CDMX,2022-01-16 01:26:25.296324081,Basico,
10056,Luis,Garcia,29,CDMX,2026-05-10 00:00:00.000000000,Basico,"1,72187E+18"
10057,Carlos,Garcia,25,Medellín,2022-01-16 14:35:01.125281320,Premium,
10058,Carlos,Lopez,22,MTY,2022-01-16 21:09:19.039759940,Premium,
10059,Carlos,Gomez,59,,2022-01-17 03:43:36.954238559,Premium,
10060,Carlos,Torres,45,CDMX,2026-05-10 00:00:00.000000000,Basico,
10061,Mateo,Lopez,70,Bogotá,2022-01-17 16:52:12.783195799,Basico,
10062,Sofia,Ramirez,22,CDMX,2022-01-17 23:26:30.697674418,Premium,
10063,Mariana,Gomez,66,MTY,2022-01-18 06:00:48.612153038,Basico,
10064,Ana,Ramirez,43,,2022-01-18 12:35:06.526631658,Premium,
10065,Carlos,Gomez,22,,2022-01-18 19:09:24.441110277,Premium,
10066,Luis,Torres,39,CDMX,2022-01-19 01:43:42.355588897,Premium,
10067,Carlos,Torres,32,Bogotá,2022-01-19 08:18:00.270067517,Basico,
10068,Luis,Garcia,30,Medellín,2022-01-19 14:52:18.184546136,Basico,
10069,Mariana,Ramirez,45,GDL,2022-01-19 21:26:36.099024756,Basico,"1,72264E+18"
10070,Mariana,Gomez,50,CDMX,2026-05-10 00:00:00.000000000,Premium,
10071,Mariana,Torres,60,,2022-01-20 10:35:11.927981995,Basico,
10072,Luis,Lopez,40,,2022-01-20 17:09:29.842460615,Basico,
10073,Carlos,Torres,50,,2022-01-20 23:43:47.756939235,Basico,"1,72817E+18"
10074,Mariana,Lopez,60,Cali,2022-01-21 06:18:05.671417854,Basico,
10075,Mateo,Gomez,35,Medellín,2022-01-21 12:52:23.585896474,Basico,
10076,Luis,Torres,67,MTY,2022-01-21 19:26:41.500375094,Basico,"1,73405E+18"
10077,Luis,Torres,70,CDMX,2022-01-22 02:00:59.414853713,Premium,
10078,Carlos,Gomez,47,CDMX,2022-01-22 08:35:17.329332333,Basico,
10079,Luis,Torres,43,Medellín,2022-01-22 15:09:35.243810952,Basico,
10080,Luis,Lopez,33,Cali,2022-01-22 21:43:53.158289572,Premium,
10081,Mariana,Torres,30,Cali,2022-01-23 04:18:11.072768192,Premium,
10082,Carlos,Ramirez,56,,2022-01-23 10:52:28.987246811,Basico,"1,72463E+18"
10083,Mariana,Garcia,50,?,2022-01-23 17:26:46.901725431,Basico,
10084,Mariana,Lopez,43,,2022-01-24 00:01:04.816204051,Premium,"1,73534E+18"
10085,Carlos,Ramirez,65,GDL,2022-01-24 06:35:22.730682670,Basico,
10086,Ana,Gomez,18,Cali,2022-01-24 13:09:40.645161290,Basico,
10087,Mariana,Lopez,66,Bogotá,2022-01-24 19:43:58.559639910,Basico,
10088,Mateo,Garcia,55,GDL,2022-01-25 02:18:16.474118529,Basico,
10089,Mateo,Garcia,19,,2022-01-25 08:52:34.388597149,Basico,
10090,Luis,Gomez,66,,2022-01-25 15:26:52.303075769,Premium,
10091,Mateo,Gomez,23,CDMX,2022-01-25 22:01:10.217554388,Premium,
10092,Luis,Lopez,63,CDMX,2022-01-26 04:35:28.132033008,Basico,
10093,Ana,Torres,67,Medellín,2022-01-26 11:09:46.046511628,Basico,
10094,Carlos,Gomez,55,Medellín,2022-01-26 17:44:03.960990247,Basico,
10095,Carlos,Torres,59,,2022-01-27 00:18:21.875468867,Basico,
10096,Carlos,Ramirez,41,GDL,2022-01-27 06:52:39.789947487,Basico,
10097,Mateo,Garcia,35,CDMX,2022-01-27 13:26:57.704426106,Premium,
10098,Ana,Torres,44,GDL,2022-01-27 20:01:15.618904726,Premium,
10099,Mateo,Garcia,58,CDMX,2022-01-28 02:35:33.533383346,Basico,"1,71763E+18"
10100,Mateo,Torres,25,CDMX,2022-01-28 09:09:51.447861965,Premium,
10101,Ana,Ramirez,45,,2022-01-28 15:44:09.362340585,Basico,
10102,Ana,Gomez,27,MTY,2022-01-28 22:18:27.276819205,Basico,
10103,Ana,Ramirez,34,Bogotá,2022-01-29 04:52:45.191297824,Basico,
10104,Ana,Gomez,72,CDMX,2022-01-29 11:27:03.105776444,Premium,"1,72109E+18"
10105,Carlos,Gomez,79,GDL,2022-01-29 18:01:21.020255064,Premium,
10106,Sofia,Garcia,46,Cali,2022-01-30 00:35:38.934733683,Premium,
